,hotel_id,hotel_name,first recommendation,distance 1,second recommendation,distance 2,thrid recommendation,distance 3
776,99387,Avalon Hotel,YOTEL New York,0.8620294327664874,The Bentley Hotel,0.8900401680290698,Arthouse Hotel New York City,0.8977831706774557
777,557499,Mount Royal Hotel & Hostel,Chelsea Center Hostel,0.6220355269907728,Senton Hotel,0.7817821097640076,La Semana Hotel,0.8110177634953863
778,10628155,Holiday Inn Express & Suites Jersey City North - Hoboken,Candlewood Suites Jersey City,0.6100243270680654,Courtyard by Marriott Jersey City Newport,0.680901176578868,Ramada by Wyndham Jersey City,0.7221954265073307
779,15637691,The Modern @ Rockefeller,YOTEL New York,1.0,Times Square Beds,1.0,Rostel,1.0
780,93568,"The Algonquin Hotel Times Square, Autograph Collection",New York Marriott East Side,0.8903829904688595,"The Lexington Hotel, Autograph Collection",0.9153578996574945,The Iroquois New York,0.9163706004290384
781,1130880,Days Inn by Wyndham Long Island City,La Quinta Inn Queens (New York City),0.8128131090411782,Ramada by Wyndham Long Island City,0.8196889769755326,Howard Johnson by Wyndham Long Island City,0.8446552633808532
782,2363008,Allcity-Grand Suites,W New York - Downtown,0.9199359230974564,AC Hotel by Marriott New York Times Square,0.9456874553406431,"Club Quarters Hotel, World Trade Center",0.9548246048547374
783,3344640,Refinery Hotel,Archer Hotel New York,0.8734696794539867,The Knickerbocker Hotel,0.8786341823334158,The Langham New York Fifth Avenue,0.8902520866772712
784,12423168,The Chauncey House,Novotel New York Times Square,1.0,Rostel,1.0,YOTEL New York,1.0
785,15236224,The Court - A St Giles Hotel,Rainbow Guesthouse,0.8787321874818335,Hotel Five44,0.9497004545172143,The Mansfield,0.9607843137254902
786,125274,The Redbury New York,The James New York-NoMad,0.9320340940216204,Hudson New York,0.9355857515192049,The Evelyn,0.937261889754
787,1149402,"The Standard, East Village","The Standard, High Line",0.8438058524052077,The Bowery Hotel,0.8600559664223844,PUBLIC,0.8682208594987243
788,1880282,Thomas Family B&B,Soho Bed and Breakfast,0.5527864045000421,Alma Mathews House,0.5527864045000421,Macy's Apartments,0.717157287525381
789,1947226,Harlem Hospitality House,Times Square Beds,1.0,Novotel New York Times Square,1.0,The Assemblage John Street,1.0
790,93562,Stewart Hotel,YOTEL New York,0.8013605474811085,Hotel 50 Bowery NYC,0.8293470749544962,Crowne Plaza Times Square Manhattan,0.8370238289939126
791,246778,Hyatt Regency Jersey City,The Westin Jersey City Newport,0.6058994640988077,Hyatt House Jersey City,0.6672429465488525,DoubleTree by Hilton Hotel & Suites Jersey City,0.6840892982222906
792,273530,The Maritime Hotel,Dream Downtown,0.9004300103776537,"The Standard, High Line",0.9142792876690392,The High Line Hotel,0.9168189616367611
793,277882,Hampton Inn Manhattan-Seaport-Financial District,Hampton Inn Manhattan / Downtown - Financial District,0.932299679961367,Fairfield Inn New York Manhattan/Financial District,0.9347949336303374,Third Ave House,0.947295372330527
794,501626,Jazz on the Town Hostel,Times Square Beds,1.0,Novotel New York Times Square,1.0,YOTEL New York,1.0
795,1237370,Living Manhattan,The Village House NY,0.7903430326556163,388 Bergen House,0.803883864861816,Furnished Dwellings,0.803883864861816
796,93445,The Blakely New York,Inn New York City,0.9068515530032464,Warwick New York,0.9218566126179338,Chambers Hotel,0.9351142605123494
797,99333,Washington Jefferson Hotel,Inn New York City,0.9158669646229977,The Blakely New York,0.9414297713009642,Avalon Hotel,0.9433319117945833
